metodo,tipo,modelo,prompt,total_questoes,stop,non_stop,qtd_demo_errado,linhas_demo_errado,mensagens_demo_errado,total_acertos,percentual_acerto,missing_empty_columns
S0,PRO,phi-4,dn,406,401,5,0,[],[],4,0.9852216748768473,
S1,PRO,phi-4,dn,406,406,0,0,[],[],34,8.374384236453201,
S2,PRO,phi-4,dn,406,405,1,0,[],[],55,13.546798029556651,
S3,PRO,phi-4,dn,406,406,0,0,[],[],67,16.502463054187192,
S5,PRO,phi-4,dn,406,406,0,0,[],[],62,15.270935960591133,
C0,PRO,phi-4,dn,406,396,10,1,[175],"['Demonstração do teorema errado. A fórmula provada foi: A->(B->C), A&B |- C, porém deveria ser: A->(B->C),(A&B)|-C.']",5,1.2315270935960592,
C1,PRO,phi-4,dn,406,405,1,16,"[143, 153, 156, 158, 162, 163, 168, 183, 192, 194, 234, 239, 253, 386, 391, 401]","['Demonstração do teorema errado. A fórmula provada foi: (A->B)|(C->B), A&C |- B, porém deveria ser: (A->B)|(C->B),(A&C)|-B.', 'Demonstração do teorema errado. A fórmula provada foi: (A->B)&(C->D) |- (A&C)->(B&D), porém deveria ser: (A->B)&(C->D),(A&C)|-(B&D).', 'Demonstração do teorema errado. A fórmula provada foi: A |- (A->B)->B, porém deveria ser: A|-((A->B)->B).', 'Demonstração do teorema errado. A fórmula provada foi: (A->B)&A |- A, porém deveria ser: (A->B)->A,B|-A.', 'Demonstração do teorema errado. A fórmula provada foi: A&B |- B, porém deveria ser: A&B,A|-B.', 'Demonstração do teorema errado. A fórmula provada foi: A&B |- A, porém deveria ser: (A&B)|-A.', 'Demonstração do teorema errado. A fórmula provada foi: A|B, A->B |- B, porém deveria ser: A|B,(A->B)|-B.', 'Demonstração do teorema errado. A fórmula provada foi: A->B |- (C->A)->(C->A), porém deveria ser: (A->B)|-((C->A)->(C->A)).', 'Demonstração do teorema errado. A fórmula provada foi: (A->B)&(B->C), A |- C, porém deveria ser: ((A->B)&(B->C)),A|-C.', 'Demonstração do teorema errado. A fórmula provada foi: ~A->B, ~A->~B |- A, porém deveria ser: (~A->B),(~A->~B)|-A.', 'Demonstração do teorema errado. A fórmula provada foi: A->B, A->C |- A->(B&C), porém deveria ser: (A->B),(A->C)|-A->(B&C).', 'Demonstração do teorema errado. A fórmula provada foi: A->B, ~C->A |- ~C->B, porém deveria ser: (A->B),(~C->A)|-(~C->B).', 'Demonstração do teorema errado. A fórmula provada foi: A->(B&C) |- A->C, porém deveria ser: A->(B&C),|-A->C.', 'Demonstração do teorema errado. A fórmula provada foi: A&B, B |- A, porém deveria ser: (A&B),B|-A.', 'Demonstração do teorema errado. A fórmula provada foi: (A&B)|(C&D), A, C |- (A&B)|(C&D), porém deveria ser: (A&B)|(C&D),A,C|-((A&B)|(C&D)).', 'Demonstração do teorema errado. A fórmula provada foi: A&B |- A&B, porém deveria ser: (A&B)|-(A&B).']",50,12.31527093596059,
C2,PRO,phi-4,dn,406,405,1,19,"[7, 143, 150, 156, 162, 163, 170, 178, 179, 183, 194, 198, 234, 238, 239, 247, 253, 386, 401]","['Demonstração do teorema errado. A fórmula provada foi: |- A|~A, porém deveria ser: |-~A|A.', 'Demonstração do teorema errado. A fórmula provada foi: (A->B)|(C->B), A&C |- B, porém deveria ser: (A->B)|(C->B),(A&C)|-B.', 'Demonstração do teorema errado. A fórmula provada foi: (A->B)&(B->C) |- A->C, porém deveria ser: ((A->B)&(B->C))|-(A->C).', 'Demonstração do teorema errado. A fórmula provada foi: A |- (A->B)->B, porém deveria ser: A|-((A->B)->B).', 'Demonstração do teorema errado. A fórmula provada foi: A&B |- B, porém deveria ser: A&B,A|-B.', 'Demonstração do teorema errado. A fórmula provada foi: A&B |- A, porém deveria ser: (A&B)|-A.', 'Demonstração do teorema errado. A fórmula provada foi: (A->B)&(B->A), A|B |- A&B, porém deveria ser: (A->B)&(B->A),(A|B)|-(A&B).', 'Demonstração do teorema errado. A fórmula provada foi: A|(A&B) |- A, porém deveria ser: (A|(A&B))|-A.', 'Demonstração do teorema errado. A fórmula provada foi: A&(A|B) |- A, porém deveria ser: (A&(A|B))|-A.', 'Demonstração do teorema errado. A fórmula provada foi: A->B |- (C->A)->(C->A), porém deveria ser: (A->B)|-((C->A)->(C->A)).', 'Demonstração do teorema errado. A fórmula provada foi: ~A->B, ~A->~B |- A, porém deveria ser: (~A->B),(~A->~B)|-A.', 'Demonstração do teorema errado. A fórmula provada foi: A->B, C->B |- (A|C)->B, porém deveria ser: (A->B),(C->B)|-(((A|C)->B)).', 'Demonstração do teorema errado. A fórmula provada foi: A->B, A->C |- A->(B&C), porém deveria ser: (A->B),(A->C)|-A->(B&C).', 'Demonstração do teorema errado. A fórmula provada foi: A->B, B->~C |- A->~C, porém deveria ser: (A->B),(B->~C)|-(A->~C).', 'Demonstração do teorema errado. A fórmula provada foi: A->B, ~C->A |- ~C->B, porém deveria ser: (A->B),(~C->A)|-(~C->B).', 'Demonstração do teorema errado. A fórmula provada foi: A->(B&~C) |- A->B, porém deveria ser: A->(B&~C),|-A->B.', 'Demonstração do teorema errado. A fórmula provada foi: A->(B&C) |- A->C, porém deveria ser: A->(B&C),|-A->C.', 'Demonstração do teorema errado. A fórmula provada foi: A&B, B |- A, porém deveria ser: (A&B),B|-A.', 'Demonstração do teorema errado. A fórmula provada foi: A&B |- A&B, porém deveria ser: (A&B)|-(A&B).']",66,16.25615763546798,
C3,PRO,phi-4,dn,406,405,1,15,"[16, 156, 162, 163, 173, 178, 179, 192, 194, 198, 234, 239, 247, 253, 401]","['Demonstração do teorema errado. A fórmula provada foi: (A&B)->C |- A->(B->C), porém deveria ser: |-((A&B)->C)->(A->(B->C)).', 'Demonstração do teorema errado. A fórmula provada foi: A |- (A->B)->B, porém deveria ser: A|-((A->B)->B).', 'Demonstração do teorema errado. A fórmula provada foi: A&B |- B, porém deveria ser: A&B,A|-B.', 'Demonstração do teorema errado. A fórmula provada foi: A&B |- A, porém deveria ser: (A&B)|-A.', 'Demonstração do teorema errado. A fórmula provada foi: ~A, A |- @, porém deveria ser: ~A,A|-B.', 'Demonstração do teorema errado. A fórmula provada foi: A|(A&B) |- A, porém deveria ser: (A|(A&B))|-A.', 'Demonstração do teorema errado. A fórmula provada foi: A&(A|B) |- A, porém deveria ser: (A&(A|B))|-A.', 'Demonstração do teorema errado. A fórmula provada foi: (A->B)&(B->C), A |- C, porém deveria ser: ((A->B)&(B->C)),A|-C.', 'Demonstração do teorema errado. A fórmula provada foi: ~A->B, ~A->~B |- A, porém deveria ser: (~A->B),(~A->~B)|-A.', 'Demonstração do teorema errado. A fórmula provada foi: A->B, C->B |- (A|C)->B, porém deveria ser: (A->B),(C->B)|-(((A|C)->B)).', 'Demonstração do teorema errado. A fórmula provada foi: A->B, A->C |- A->(B&C), porém deveria ser: (A->B),(A->C)|-A->(B&C).', 'Demonstração do teorema errado. A fórmula provada foi: A->B, ~C->A |- ~C->B, porém deveria ser: (A->B),(~C->A)|-(~C->B).', 'Demonstração do teorema errado. A fórmula provada foi: A->(B&~C) |- A->B, porém deveria ser: A->(B&~C),|-A->B.', 'Demonstração do teorema errado. A fórmula provada foi: A->(B&C) |- A->C, porém deveria ser: A->(B&C),|-A->C.', 'Demonstração do teorema errado. A fórmula provada foi: A&B |- A&B, porém deveria ser: (A&B)|-(A&B).']",59,14.532019704433496,
C5,PRO,phi-4,dn,406,406,0,14,"[156, 162, 163, 178, 179, 183, 192, 194, 247, 253, 383, 385, 386, 389]","['Demonstração do teorema errado. A fórmula provada foi: A |- (A->B)->B, porém deveria ser: A|-((A->B)->B).', 'Demonstração do teorema errado. A fórmula provada foi: A&B |- B, porém deveria ser: A&B,A|-B.', 'Demonstração do teorema errado. A fórmula provada foi: A&B |- A, porém deveria ser: (A&B)|-A.', 'Demonstração do teorema errado. A fórmula provada foi: A|(A&B) |- A, porém deveria ser: (A|(A&B))|-A.', 'Demonstração do teorema errado. A fórmula provada foi: A&(A|B) |- A, porém deveria ser: (A&(A|B))|-A.', 'Demonstração do teorema errado. A fórmula provada foi: A->B |- (C->A)->(C->A), porém deveria ser: (A->B)|-((C->A)->(C->A)).', 'Demonstração do teorema errado. A fórmula provada foi: (A->B)&(B->C), A |- C, porém deveria ser: ((A->B)&(B->C)),A|-C.', 'Demonstração do teorema errado. A fórmula provada foi: ~A->B, ~A->~B |- A, porém deveria ser: (~A->B),(~A->~B)|-A.', 'Demonstração do teorema errado. A fórmula provada foi: A->(B&~C) |- A->B, porém deveria ser: A->(B&~C),|-A->B.', 'Demonstração do teorema errado. A fórmula provada foi: A->(B&C) |- A->C, porém deveria ser: A->(B&C),|-A->C.', 'Demonstração do teorema errado. A fórmula provada foi: A&B, A |- B, porém deveria ser: (A&B),A|-B.', 'Demonstração do teorema errado. A fórmula provada foi: A&B, A |- A&B, porém deveria ser: (A&B),A|-A&B.', 'Demonstração do teorema errado. A fórmula provada foi: A&B |- A, porém deveria ser: (A&B),B|-A.', 'Demonstração do teorema errado. A fórmula provada foi: A->B, B->C, C->D, D->E |- A->E, porém deveria ser: A->B,B->C,C->D,D->E,A|-E.']",56,13.793103448275861,
